func,avg_t,score
ts_max_20,10.597263230010867,3
ta_MACDh_12_26_9,10.532271399861202,3
ta_COSH,10.510995279764757,3
ta_MACDs_12_26_9,10.50682183005847,3
ts_min_10,10.487187330145389,3
ta_MACD_12_26_9,10.469981350470334,3
ts_max_10,10.429899969603866,3
ta_TEMA_20,10.062859490280971,3
ta_TEMA_5,9.976703249849379,3
ta_TEMA_10,9.973813829710707,3
ta_TEMA_60,9.877065439941362,3
ta_TEMA_40,9.853597059845924,3
ts_max_5,9.831330559682101,3
ta_CMO_10,9.76168861030601,3
ts_max_3,9.601756000192836,3
ts_min_5,9.552059839479625,3
ts_roc_60,9.383171260124072,2
ta_RSI_10,9.14232466951944,2
ts_roc_1,9.141030019382015,2
ts_roc_5,9.12674403982237,2
ts_roc_10,9.115408000070602,2
ts_roc_3,9.105414849473163,2
ts_min_3,9.097881970228627,2
ta_BBANDSl_5_2_2,9.049114880617708,2
ta_BBANDSm_5_2_2,9.032674239715561,2
ta_BBANDSu_5_2_2,8.962538589257747,2
ts_roc_20,8.941987289581448,2
ts_roc_40,8.93154087010771,2
signed_sqrt,8.188623739406466,2
ta_DEMA_40,8.131321540568024,2
ta_DEMA_10,8.108238610439003,2
ta_DEMA_20,8.0725903599523,2
ta_DEMA_5,8.070873100077733,2
ta_DEMA_60,8.025868480326608,2
ta_PPO_12_26,7.90058434009552,2
signed_log,7.8721411200240246,2
log,7.571045289514586,2
ts_increasing_5,7.335313129005954,2
ts_increasing_20,7.267432860098779,2
ts_decreasing_60,7.261598939076066,2
ts_decreasing_5,7.253658609697595,2
ts_increasing_60,7.244972470216453,2
ts_decreasing_3,7.2124165506102145,2
ts_decreasing_20,7.209867360070348,2
ts_increasing_3,7.202131720259786,2
ts_decreasing_10,7.18400331097655,2
ts_decreasing_40,7.168997270055115,2
ts_increasing_40,7.168326829560101,2
inv,7.1673164097592235,2
ts_increasing_10,7.138560189632699,2
sigmoid,7.109874770976603,2
sqrt,7.07712527946569,2
ts_sum_3,6.930360130500048,2
ta_APO_12_26,6.843998869881034,2
ta_T3_5,6.320383709389716,2
ta_T3_10,6.307422459358349,2
ta_T3_20,6.3035966898314655,2
ta_T3_60,6.295209539821371,2
ta_T3_40,6.278572080191225,2
ta_EMA_5,5.944022350013256,1
ta_EMA_20,5.930021280655637,1
ta_EMA_60,5.894183840136975,1
ta_EMA_10,5.869202050380409,1
ta_EMA_40,5.8620762208011,1
ta_TRIMA_5,5.827892139786854,1
ta_TRIMA_40,5.818252260796726,1
ta_TRIMA_10,5.784999270690605,1
ta_TRIMA_60,5.775541809853166,1
ta_TRIMA_20,5.77125804964453,1
ts_std_5,5.33674202975817,1
ts_std_40,5.336628230288625,1
ts_std_60,5.304435960715637,1
ts_std_10,5.280960090458393,1
ts_std_20,5.263415660010651,1
ta_SMA_10,5.207348370458931,1
ta_SMA_60,5.197809700621292,1
ta_WMA_10,5.186426000436768,1
ta_WMA_5,5.1815849100239575,1
ta_SMA_40,5.175767670152709,1
ta_WMA_60,5.17189534031786,1
ta_SMA_20,5.145996069768444,1
ta_SMA_5,5.145639720140025,1
ta_WMA_40,5.142520819790661,1
ta_WMA_20,5.140223460039124,1
ta_CEIL,4.922272430267185,1
ta_FLOOR,4.9075084598734975,1
ts_diff_40,4.781127739697695,1
ts_diff_60,4.729921049438417,1
ts_diff_5,4.689109779428691,1
ts_diff_20,4.6635104599408805,1
ts_diff_1,4.653155279811472,1
ts_diff_3,4.635858649853617,1
ts_diff_10,4.629785219440237,1
ts_mean_3,4.211905510164797,1
ts_mean_40,4.189522919477895,1
ts_sum_40,4.176181530347094,1
ts_mean_20,4.17350598028861,1
ts_sum_20,4.164728249888867,1
ts_sum_60,4.160635770531371,1
ts_mean_60,4.158264679135755,1
ts_sum_5,4.150383840315044,1
ts_mean_10,4.1486426698975265,1
ts_mean_5,4.133164149243385,1
ts_sum_10,4.082513279281557,1
ts_delay_20,3.8475107692647725,1
ts_delay_5,3.7855481903534383,1
ts_delay_3,3.723135400796309,1
ts_delay_40,3.7211710796691477,1
ts_delay_10,3.6765981803182513,1
neg,3.571603549644351,1
ts_delay_1,3.5350026306696236,1
abs,3.4932370204478502,1
ts_delay_60,3.4583997598383576,1
if_then_else,3.1302950100507587,1
